name,description,job_levels,duration_minutes,test_type,remote_testing,adaptive
Verify - Numerical Reasoning,Measures ability to interpret and work with numerical data and statistics. Suitable for roles requiring data analysis and financial decision making.,Graduate;Manager;Professional,18,Ability & Aptitude,Yes,Yes
Verify - Verbal Reasoning,Assesses ability to understand and evaluate written information and draw logical conclusions. Ideal for roles requiring strong communication.,Graduate;Manager;Professional,17,Ability & Aptitude,Yes,Yes
Verify - Inductive Reasoning,Measures ability to identify patterns and relationships in abstract information. Great for problem solving and analytical roles.,Graduate;Manager;Professional,24,Ability & Aptitude,Yes,Yes
Verify - Deductive Reasoning,Assesses logical thinking and ability to draw conclusions from given information. Suitable for analytical and technical roles.,Graduate;Manager;Professional,20,Ability & Aptitude,Yes,Yes
Verify - Mechanical Comprehension,Measures understanding of mechanical and physical concepts. Ideal for engineering and technical roles.,Operational;Professional,25,Ability & Aptitude,Yes,No
OPQ - Occupational Personality Questionnaire,Comprehensive personality assessment measuring 32 dimensions of workplace behavior and preferred working style.,Graduate;Manager;Director;Professional,25,Personality & Behavior,Yes,No
MQ - Motivation Questionnaire,Assesses what motivates and energizes an individual at work. Helps predict engagement and job satisfaction.,Graduate;Manager;Professional,25,Personality & Behavior,Yes,No
Verify - Calculation,Tests ability to perform numerical calculations accurately and efficiently. Ideal for accounting and finance roles.,Operational;Graduate,17,Ability & Aptitude,Yes,Yes
Verify - Checking,Measures accuracy and attention to detail when checking information. Suitable for data entry and administrative roles.,Operational,12,Ability & Aptitude,Yes,Yes
Situational Judgement Test,Presents realistic workplace scenarios and measures judgement in handling them. Ideal for customer service and managerial roles.,Graduate;Manager;Operational,30,Situational Judgment,Yes,No
Work Safety Assessment,Measures attitudes and behaviors related to workplace safety. Ideal for operational and industrial roles.,Operational,20,Personality & Behavior,Yes,No
Customer Contact Styles,Assesses interpersonal style and suitability for customer facing roles. Measures empathy and communication approach.,Operational;Graduate,20,Personality & Behavior,Yes,No
Sales Achievement Predictor,Predicts sales performance by measuring drive competitiveness and persuasion skills. Ideal for sales roles.,Professional;Graduate,25,Personality & Behavior,Yes,No
Technology Professional Scenarios,Situational judgement test designed for IT and software development professionals. Measures technical decision making.,Professional;Graduate,35,Situational Judgment,Yes,No
Graduate 8,Comprehensive graduate assessment measuring verbal numerical and inductive reasoning. Ideal for graduate recruitment.,Graduate,45,Ability & Aptitude,Yes,Yes
Dependability and Safety Instrument,Measures reliability conscientiousness and safety orientation. Ideal for roles where dependability is critical.,Operational,20,Personality & Behavior,Yes,No
Verify - Reading Comprehension,Assesses ability to read and understand written passages quickly and accurately. Suitable for administrative roles.,Operational;Graduate,18,Ability & Aptitude,Yes,Yes
Call Center Simulation,Realistic job simulation for call center roles. Measures multitasking customer handling and problem resolution.,Operational,30,Simulations,Yes,No
Administrative Professional Scenarios,Situational judgement for administrative professionals. Measures organization prioritization and communication.,Operational;Graduate,25,Situational Judgment,Yes,No
Bank Administrative Simulation,Job simulation for banking administrative roles. Measures accuracy compliance and customer interaction.,Operational,40,Simulations,Yes,No
